sku;_store;_attribute_set;_type;_category;_root_category;_product_websites;capacidade;color;cost;country_of_manufacture;created_at;custom_design;custom_design_from;custom_design_to;custom_layout_update;descricaogoogleshopping;description;em_deal;em_featured;em_hot;export_pluggto;faixa_etaria;fit_size;gallery;genero;gift_message_available;googleshopping_category;googleshopping_condition;googleshopping_exclude;has_options;hover;image;image_label;manufacturer;marca;material;media_gallery;meta_description;meta_keyword;meta_title;minimal_price;msrp;msrp_display_actual_price_type;msrp_enabled;name;ncm;news_from_date;news_to_date;options_container;page_layout;posting_days;postmethods;price;required_options;seller_id;short_description;small_image;small_image_label;special_from_date;special_price;special_to_date;status;tamanho;tax_class_id;thumbnail;thumbnail_label;updated_at;url_key;url_path;visibility;volume_altura;volume_comprimento;volume_largura;weight;qty;min_qty;use_config_min_qty;is_qty_decimal;backorders;use_config_backorders;min_sale_qty;use_config_min_sale_qty;max_sale_qty;use_config_max_sale_qty;is_in_stock;notify_stock_qty;use_config_notify_stock_qty;manage_stock;use_config_manage_stock;stock_status_changed_auto;use_config_qty_increments;qty_increments;use_config_enable_qty_inc;enable_qty_increments;is_decimal_divided;_links_related_sku;_links_related_position;_links_crosssell_sku;_links_crosssell_position;_links_upsell_sku;_links_upsell_position;_associated_sku;_associated_default_qty;_associated_position;_tier_price_website;_tier_price_customer_group;_tier_price_qty;_tier_price_price;_group_price_website;_group_price_customer_group;_group_price_price;_media_attribute_id;_media_image;_media_lable;_media_position;_media_is_disabled;_super_products_sku;_super_attribute_code;_super_attribute_option;_super_attribute_price_corr
BB190;;Default;simple;Saúde/Bem Estar/Amamentação;Todas as categorias;base;;Branco;;;2018-10-22 19:26:54;;;;;"As conchas protetoras para amamentação ""for MOM' foram especialmente desenhadas para proteger os mamilos sensíveis assim como coletor o precioso leite materno enquanto amamenta ou extrai o leite. ";"<p>As conchas protetoras para amamenta&ccedil;&atilde;o ""for MOM' foram especialmente desenhadas para proteger os mamilos sens&iacute;veis assim como coletor o precioso leite materno enquanto amamenta ou extrai o leite.&nbsp;</p>";0;0;0;Sim;Sem Faixa Etária;;;Unissex;;;;Não;0;;/c/o/conchas-protetoras-de-mamilo.jpg;;;MULTIKIDS;Silicone;;Compre agora as suas Conchas Protetoras para Amamentação na Colorear Infantil com as melhores condições de pagamento. Parcelas de até 3x sem juros nos cartões.;;Conchas Protetoras para Amamentação – MULTIKIDS – Colorear Infantil;;;Utilizar configuração;Utilizar configuração;Conchas Protetoras para Amamentação - MULTIKIDS;7899838800189;;;Info Coluna de Produto;;;;49.9000;0;;"<p></p>
<ul>
<li>Aten&ccedil;&atilde;o: As conchas n&atilde;o devem ser usadas por mais de 40 minutos, devido a um risco de excesso de press&atilde;o nos dultos do leite.&nbsp;&nbsp;</li>
<li>Cont&eacute;m: 2 conchas ventiladas, 2 conchas coletoras n&atilde;o-ventiladas e 2 almofadas de silicone.</li>
</ul>";/c/o/conchas-protetoras-de-mamilo_1.jpg;;;;;1;Único;0;/c/o/conchas-protetoras-de-mamilo_1.jpg;;2019-05-29 18:42:19;conchas-protetoras-para-amamentac-o-multikids-baby;conchas-protetoras-para-amamentac-o-multikids-baby;4;5;2;5;0.1100;6.0000;0.0000;1;0;0;1;1.0000;1;0.0000;1;1;;1;0;1;0;1;0.0000;1;0;0;BB187;0;1472;0;;;;;;;;;;;;;88;/c/o/conchas-protetoras-de-mamilo.jpg;;1;0;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BB187;0;;;;;;;;;;;;;88;/c/o/conchas-protetoras-de-mamilo_1.jpg;;2;0;;;;
6142;;Default;simple;Saúde/Bem Estar/Acessórios para Higiene;Todas as categorias;base;;Branco;;;2018-10-22 19:55:58;;;;;O Nariz do seu bebê não ficará mais obstruído devido a gripes, resfriados ou tempo seco. Ele vem com um conta gotas, desobstrui instantaneamente a secreção nasal e ofere alívio rápido e seguro para o seu bebê.;"<p>O Nariz do seu beb&ecirc; n&atilde;o ficar&aacute; mais obstru&iacute;do devido a gripes, resfriados ou tempo seco. Ele vem com um conta gotas, desobstrui instantaneamente a secre&ccedil;&atilde;o nasal e ofere al&iacute;vio r&aacute;pido e seguro para o seu beb&ecirc;.</p>";0;0;0;Sim;0+ meses;;;Unissex;;;;Não;0;;/s/p/spirador-nasal-embalagem.jpg;;;BUBA; Silicone, ABS, Polipropileno.;;Compre agora o seu Aspirador Nasal Baby na Colorear Infantil com as melhores condições de pagamento. Parcelas de até 3x sem juros nos cartões.;;Aspirador Nasal Baby – BUBA – Colorear Infantil;;;Utilizar configuração;Utilizar configuração;Aspirador Nasal Baby - BUBA;7899525661420;;;Info Coluna de Produto;;;;17.9000;0;;<p>Livre de BPA.</p>;/a/s/aspirador-nasal.jpg;;;;;1;Único;0;/a/s/aspirador-nasal-perto.jpg;;2019-05-29 18:58:23;aspirador-nasal-baby-buba;aspirador-nasal-baby-buba;4;19;4;11;0.4000;10.0000;0.0000;1;0;0;1;1.0000;1;0.0000;1;1;;1;0;1;0;1;0.0000;1;0;0;BB187;0;;;;;;;;;;;;;;;88;/a/s/aspirador-nasal.jpg;;1;0;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BB012;0;;;;;;;;;;;;;;;88;/s/p/spirador-nasal-embalagem.jpg;;2;0;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BB170;0;;;;;;;;;;;;;;;88;/a/s/aspirador-nasal-perto.jpg;;3;0;;;;
6173;;Default;simple;Alimentação/Acessórios para Alimentação;Todas as categorias;base;;Verde;;;2018-10-23 15:58:22;;;;;Secagem sem contato com panos após a esterilização. Produto dobra-se e vira um prático estojo muito fácil e compacto para guardar. Ideal para secar as mamadeiras e outros acessórios como bicos, anéis, copos, discos e tampas e ainda deixar tudo bem organizado. ;"<p><span>Secagem sem contato com panos ap&oacute;s a esteriliza&ccedil;&atilde;o. Produto dobra-se e vira um pr&aacute;tico estojo muito f&aacute;cil e compacto para guardar. I<span>deal para secar as mamadeiras e outros acess&oacute;rios como bicos, an&eacute;is, copos, discos e tampas e ainda deixar tudo bem organizado.&nbsp;</span></span></p>";0;0;0;Sim;Sem Faixa Etária;;;Unissex;;;;Não;0;;/e/s/escorredor-de-mamadeira-embalagem_2.jpg;;;BUBA;polipropileno ;;Compre agora o seu Escorredor de Mamadeira na Colorear Infantil com as melhores condições de pagamento. Parcelas de até 3x sem juros nos cartões.;;Escorredor de Mamadeira – BUBA – Colorear Infantil;;;Utilizar configuração;Utilizar configuração;Escorredor de Mamadeira - BUBA;7899525661734;;;Info Coluna de Produto;;;;34.9000;0;;"<p><span><span>Lave bem o produto antes do primeiro uso com sab&atilde;o neutro e deixe-o secar ao ar. N&atilde;o ferver ou esterilizar.&nbsp;Feito com material resistente e livre de BPA.</span></span></p>";/e/s/escorredor-de-mamadeira_2.jpg;;2019-03-01 00:00:00;31.9000;;1;Único;0;/e/s/escorredor-de-mamadeira_2.jpg;;2019-05-29 19:24:53;escorredor-de-mamadeira-buba;escorredor-de-mamadeira-buba;4;29;14;5;0.4000;2.0000;0.0000;1;0;0;1;1.0000;1;0.0000;1;1;;1;0;1;0;1;0.0000;1;0;0;;;;;;;;;;;;;;;;;88;/e/s/escorredor-de-mamadeira-aberto_2.jpg;;2;0;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88;/e/s/escorredor-de-mamadeira_2.jpg;;1;0;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88;/e/s/escorredor-de-mamadeira-embalagem_2.jpg;;3;0;;;;
BB187;;Default;simple;Saúde/Bem Estar/Amamentação;Todas as categorias;base;;Branco;;;2018-10-23 16:15:35;;;;;Tira Leite proporciona às mamães suavidade, conforto e eficiência da hora da extração do precioso leite materno. Seu desgin compacto é ideal para transportar, permitindo a extração em qualquer lugar. ;"<p><span><span>Tira Leite&nbsp;</span>proporciona &agrave;s mam&atilde;es suavidade, conforto e efici&ecirc;ncia da hora da extra&ccedil;&atilde;o do precioso leite materno. Seu desgin compacto &eacute; ideal para transportar, permitindo a extra&ccedil;&atilde;o em qualquer lugar.&nbsp;</span></p>";0;0;0;Sim;Sem Faixa Etária;;;Unissex;;;;Não;0;;/t/i/tira-leite-manual-embalagem.jpg;;;MULTIKIDS;PLÁSTICO ABS + SILICONE;;Compre agora o seu Tira Leite Manual na Colorear Infantil com as melhores condições de pagamento. Parcelas de até 3x sem juros nos cartões.;;Tira Leite Manual – MULTIKIDS – Colorear Infantil;;;Utilizar configuração;Utilizar configuração;Tira Leite Manual - MULTIKIDS;7899838800974;;;Info Coluna de Produto;;;;34.9000;0;;"<p>Com design inovador, e ergon&ocirc;mico, possui almofada em silicone macio com p&eacute;talas que estimulam o fluxo do leite atrav&eacute;s de uma massagem suave e agrad&aacute;vel.&nbsp;</p>";/t/i/tira-leite-manual.jpg;;2019-04-25 00:00:00;25.9000;;1;Único;0;/t/i/tira-leite-manual-embalagem.jpg;;2019-05-29 19:28:34;tira-leite-para-mamae-multikids;tira-leite-para-mamae-multikids;4;18;23;18;0.2000;7.0000;0.0000;1;0;0;1;1.0000;1;0.0000;1;1;;1;0;1;0;1;0.0000;1;0;0;BB190;0;BB190;0;;;;;;;;;;;;;88;/t/i/tira-leite-manual-embalagem.jpg;;2;0;;;;
;;;;Promoções;Todas as categorias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SCF821/11;0;;;;;;;;;;;;;;;88;/t/i/tira-leite-manual.jpg;;1;0;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SCF620/17;0;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SCF627/20;0;;;;;;;;;;;;;;;;;;;;;;;
BB139;;Default;simple;Saúde/Bem Estar;Todas as categorias;base;;Branco;;;2018-10-23 18:33:15;;;;;Conta gotas e aspirador nasal ajudam a medir a dosagem de remédio para seu bebê e extrair secreção do nariz. Alívio imediato a congestão nasal, ponta macia e anatômica. Possui estojo higiênico para transporte. ;"<p>Conta gotas e aspirador nasal ajudam a medir a dosagem de rem&eacute;dio para seu beb&ecirc; e extrair secre&ccedil;&atilde;o do nariz. Al&iacute;vio imediato a congest&atilde;o nasal, ponta macia e anat&ocirc;mica. Possui estojo higi&ecirc;nico para transporte.&nbsp;</p>";0;0;0;Sim;0+ meses;;;Unissex;;;;Não;0;;/a/s/aspirador-nasal-de-succao.jpg;;;MULTIKIDS;Polipropileno e Silicone;;Compre agora o seu Aspirador Nasal de Sucção na Colorear Infantil com as melhores condições de pagamento. Parcelas de até 3x sem juros nos cartões.;;Aspirador Nasal de Sucção – MULTIKIDS – Colorear Infantil;;;Utilizar configuração;Utilizar configuração;Aspirador Nasal de Sucção - MULTIKIDS;7899838800516;;;Info Coluna de Produto;;;;45.9000;0;;"<p>Pontas e tubo em silicone e c&aacute;psula de pl&aacute;stico de polipropileno.Livre de bisfenol A.</p>";/a/s/aspirador-nasal-de-succao.jpg;;;;;1;Único;0;/a/s/aspirador-nasal-de-succao.jpg;;2019-05-29 19:36:18;aspirador-nasal-de-succao-multikids;aspirador-nasal-de-succao-multikids;4;21;4;13;0.1000;14.0000;0.0000;1;0;0;1;1.0000;1;0.0000;1;1;;1;0;1;0;1;0.0000;1;0;0;;;;;;;;;;;;;;;;;88;/a/s/aspirador-nasal-de-succao.jpg;;1;0;;;;
;;;;Saúde/Bem Estar/Acessórios para Higiene;Todas as categorias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88;/a/s/aspirador-nasal-de-succao-multikids.jpg;;2;0;;;;
5330;;Default;simple;Saúde/Bem Estar;Todas as categorias;base;;Branco;;;2018-10-23 18:54:09;;;;;O Redutor de Assento Infantil da Buba é acolchoado e confortável, produzido com material atóxico e de qualidade, para ajudarem os pequenos a se desenvolverem de maneira saudável e segura. ;"<p>O Redutor de Assento Infantil da Buba &eacute; acolchoado e confortavel, produzido com material at&oacute;xico e de qualidade, para ajudarem os pequenos a se desenvolverem de maneira saud&aacute;vel e segura.&nbsp;</p>";0;0;0;Sim;9+ meses;;;Unissex;;;;Não;0;;/r/e/redutor-de-assento-emblagem_1.jpg;;;BUBA;Polipropileno, Poliuretano, Policloreto de vinila (PVC);;Compre agora o seu Redutor de Assento na Colorear Infantil com as melhores condições de pagamento. Parcelas de até 3x sem juros nos cartões.;;Redutor de Assento – BUBA – Colorear Infantil;;;Utilizar configuração;Utilizar configuração;Redutor de Assento - BUBA;7899525653302;;;Info Coluna de Produto;;;;59.9000;0;;"<p>Produto antial&eacute;rgico e livre de BPA.</p>";/r/e/redutor-de-assento-emblagem_1.jpg;;2019-03-08 00:00:00;41.9000;;1;Único;0;/r/e/redutor-de-assento-emblagem_1.jpg;;2019-05-31 19:32:11;redutor-de-assento-buba;redutor-de-assento-buba;4;7;35;29;0.3700;0.0000;0.0000;1;0;0;1;1.0000;1;0.0000;1;0;;1;0;1;1;1;0.0000;1;0;0;MICBAS;0;MICBAS;0;;;;;;;;;;;;;88;/r/e/redutor-de-assento-emblagem_1.jpg;;1;0;;;;
;;;;Saúde/Bem Estar/Redutores de Assento e Mictórios;Todas as categorias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88;/r/e/redutor-de-assento_1.jpg;;2;0;;;;
;;;;Promoções;Todas as categorias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5801;;Default;simple;Saúde/Bem Estar;Todas as categorias;base;;Branco;;;2018-10-23 19:16:57;;;;;Para proteger as mãozinhas do bebê de possíveis batidas de porta. Basta posicionar em baixo da porta, entre a porta e o chão, para manter-la aberta. ;"<p>Para proteger as m&atilde;ozinhas do beb&ecirc; de poss&iacute;veis batidas de porta. Basta posicionar em baixo da porta, entre a porta e o ch&atilde;o, para manter-la aberta.&nbsp;</p>";0;0;0;Sim;Sem Faixa Etária;;;Unissex;;;;Não;0;;/t/r/trava-portas-pezinho.jpg;;;BUBA;TPR;;Compre agora o seu Trava Portas Pezinho na Colorear Infantil com as melhores condições de pagamento. Parcelas de até 3x sem juros nos cartões.;;Trava Portas Pezinho – BUBA – Colorear Infantil;;;Utilizar configuração;Utilizar configuração;Trava Portas Pezinho - BUBA;7899525658017;;;Info Coluna de Produto;;;;12.9000;0;;"<p>Lavar com &aacute;gua fria e sab&atilde;o neutro.</p>";/t/r/trava-portas-pezinho.jpg;;2019-03-08 00:00:00;8.9000;;1;Único;0;/t/r/trava-portas-pezinho.jpg;;2019-08-30 14:14:06;trava-portas-pezinho-buba;trava-portas-pezinho-buba;4;8;2;12;0.2000;15.0000;0.0000;1;0;0;1;1.0000;1;0.0000;1;1;;1;0;1;0;1;0.0000;1;0;0;BB268;0;6715;0;;;;;;;;;;;;;88;/t/r/trava-portas-pezinho.jpg;;1;0;;;;
;;;;Saúde/Bem Estar/Segurança;Todas as categorias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6715;0;7279;0;;;;;;;;;;;;;88;/t/r/trava-portas-pezinho-embalagem.jpg;;2;0;;;;
;;;;Promoções;Todas as categorias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7279;0;;;;;;;;;;;;;;;;;;;;;;;
5245;;Default;simple;Saúde/Bem Estar;Todas as categorias;base;;Branco;;;2018-10-23 19:40:21;;;;;Anatômico, foi desenvolvido especialmente para cuidar com delicadeza e segurança das uhas do bebê. ;"<p>Anat&ocirc;mico, foi desenvolvido especialmente para cuidar com delicadeza e seguran&ccedil;a das uhas do beb&ecirc;.&nbsp;</p>";0;0;0;Sim;0+ meses;;;Unissex;;;;Não;0;;/k/i/kit-manicure-embalagem.jpg;;;BUBA;Polipropileno e Aço Carbono;;Compre agora o seu Kit Manicure Baby na Colorear Infantil com as melhores condições de pagamento. Parcelas de até 3x sem juros nos cartões.;;Kit Manicure Baby – BUBA – Colorear Infantil;;;Utilizar configuração;Utilizar configuração;Kit Manicure Baby - BUBA;7896025521797;;;Info Coluna de Produto;;;;26.9000;0;;"<p>Tesoura: polipropireno, borracha e a&ccedil;o carbono galvanizado.</p>
<p>Cortador de Unha: polipropireno e a&ccedil;o cabrono.</p>
<p>Lixa: polipropireno e a&ccedil;o carbono.</p>
<p></p>";/k/i/kit-manicure-baby.jpg;;;;;1;Único;0;/k/i/kit-manicure-baby.jpg;;2019-05-27 17:29:30;kit-manicure-baby-buba;kit-manicure-baby-buba;4;16;1;16;0.1000;16.0000;0.0000;1;0;0;1;1.0000;1;0.0000;1;1;;1;0;1;0;1;0.0000;1;0;0;6142;0;;;;;;;;;;;;;;;88;/k/i/kit-manicure-baby.jpg;;1;0;;;;
;;;;Saúde/Bem Estar/Acessórios para Higiene;Todas as categorias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BB139;0;;;;;;;;;;;;;;;88;/k/i/kit-manicure-embalagem.jpg;;2;0;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7561;0;;;;;;;;;;;;;;;;;;;;;;;
5418;;Default;simple;Saúde/Bem Estar;Todas as categorias;base;;Branco;;;2018-10-23 19:58:11;;;;;Foi desenvolvido para guardar a chupeta dos pequenos, mantendo assim a higiene e proteção. Fácil de lavar, pode ser levado no lava-louças.;"<p>Foi desenvolvido para guardar a chupeta dos pequenos, mantendo assim a higiene e prote&ccedil;&atilde;o. F&aacute;cil de lavar, pode ser levado no lava-lou&ccedil;as.</p>";0;0;0;Sim;0+ meses;;;Unissex;;;;Não;0;;/p/o/porta-chupeta-aberto.jpg;;;BUBA;polipropileno ;;Compre agora o seu Porta Chupeta na Colorear Infantil com as melhores condições de pagamento. Parcelas de até 3x sem juros nos cartões.;;Porta Chupeta – BUBA – Colorear Infantil;;;Utilizar configuração;Utilizar configuração;Porta Chupeta - BUBA;7899525654187;;;Info Coluna de Produto;;;;11.9000;0;;"<ul>
<li>Livre de BPA.</li>
<li>Estereliz&aacute;vel.</li>
</ul>";/p/o/porta-chupeta.jpg;;;;;1;Único;0;/p/o/porta-chupeta-aberto.jpg;;2019-05-31 19:35:04;porta-chupeta-buba;porta-chupeta-buba;4;12;5;6;0.1500;10.0000;0.0000;1;0;0;1;1.0000;1;0.0000;1;1;;1;0;1;0;1;0.0000;1;0;0;BB012;0;;;;;;;;;;;;;;;88;/p/o/porta-chupeta.jpg;;1;0;;;;
